Year,FSM,VR1 Band,VR Band of Student,Ethnic group of student,School denomination,Exam Score
2,29,23,1,1,2,5
2,29,23,3,1,2,15
2,29,23,3,1,2,26
2,29,23,3,1,2,15
2,29,23,2,1,2,28
2,29,23,3,1,2,17
2,29,23,1,1,2,7
2,29,23,3,11,2,27
2,29,23,2,1,2,44
2,29,23,3,1,2,19
2,29,23,3,1,2,28
2,29,23,1,1,2,1
2,29,23,3,1,2,19
2,29,23,3,1,2,33
2,29,23,3,5,2,27
2,29,23,3,1,2,24
2,29,23,3,1,2,35
2,29,23,3,6,2,34
2,29,23,1,1,2,6
2,29,23,3,5,2,14
2,29,23,3,1,2,13
2,29,23,3,1,2,24
2,29,23,2,1,2,31
2,29,23,3,1,2,33
2,29,23,2,1,2,35
2,29,23,1,1,2,2
2,29,23,3,1,2,14
2,29,23,3,1,2,18
2,29,23,1,5,2,10
2,29,23,3,5,2,22
2,29,23,2,1,2,28
2,29,23,1,1,2,3
2,29,23,3,1,2,41
2,29,23,3,1,2,24
2,29,23,3,1,2,18
3,29,19,3,1,2,18
3,29,19,3,1,2,6
3,29,19,2,1,2,37
3,29,19,1,1,2,15
3,29,19,3,1,2,24
3,29,19,1,1,2,20
3,29,19,3,1,2,16
3,29,19,3,1,2,22
3,29,19,3,1,2,14
3,29,19,2,2,2,30
3,29,19,3,1,2,28
3,29,19,1,1,2,1
3,29,19,3,1,2,16
3,29,19,3,1,2,28
3,29,19,3,1,2,38
3,29,19,3,1,2,8
3,29,19,1,1,2,17
3,29,19,1,1,2,17
3,29,19,3,1,2,19
3,29,19,3,1,2,21
3,29,19,1,1,2,6
3,29,19,3,1,2,2
3,29,19,3,1,2,21
3,29,19,1,1,2,4
3,29,19,1,1,2,9
3,29,19,1,1,2,2
3,29,19,3,1,2,10
3,29,19,3,1,2,26
3,29,19,3,1,2,20
3,29,19,3,1,2,18
3,29,19,3,1,2,10
3,29,19,3,1,2,17
3,29,19,2,1,2,41
3,29,19,3,1,2,19
3,29,19,3,5,2,30
3,29,19,3,1,2,12
3,29,19,2,1,2,12
3,29,19,3,1,2,10
3,29,19,1,1,2,7
3,29,19,2,1,2,32
3,29,19,3,1,2,22
3,29,19,2,11,2,25
3,29,19,2,1,2,27
3,29,19,3,1,2,16
3,29,19,3,1,2,21
3,29,19,3,5,2,10
3,29,19,2,1,2,25
3,29,19,3,1,2,23
3,29,19,3,1,2,20
3,29,19,3,1,2,10
3,29,19,1,1,2,10
3,29,19,1,1,2,5
3,29,19,2,1,2,42
3,29,19,3,1,2,17
3,29,19,1,1,2,6
3,29,19,1,1,2,7
3,29,19,3,1,2,7
3,29,19,3,1,2,10
3,29,19,3,1,2,34
3,29,19,3,1,2,10
3,29,19,1,1,2,11
3,29,19,2,1,2,2
3,29,19,2,1,2,17
3,29,19,3,1,2,28
3,29,19,3,1,2,17
3,29,19,2,1,2,22
3,29,19,1,1,2,19
3,29,19,1,1,2,3
3,29,19,3,1,2,21
3,29,19,3,1,2,37
3,29,19,2,1,2,27
3,29,19,3,1,2,22
3,29,19,2,1,2,28
3,29,19,3,1,2,5
3,29,19,2,1,2,19
3,29,19,3,1,2,8
1,31,24,3,5,1,31
1,31,24,2,5,1,25
1,31,24,2,2,1,10
1,31,24,2,1,1,44
1,31,24,3,1,1,4
1,31,24,3,1,1,12
1,31,24,2,7,1,48
1,31,24,1,1,1,12
1,31,24,3,1,1,14
1,31,24,1,8,1,1
1,31,24,3,11,1,35
1,31,24,1,1,1,5
1,31,24,2,11,1,12
1,31,24,3,1,1,12
1,31,24,2,1,1,27
1,31,24,3,7,1,21
1,31,24,2,1,1,48
1,31,24,1,5,1,14
1,31,24,3,5,1,11
1,31,24,1,7,1,12
1,31,24,3,1,1,3
1,31,24,3,11,1,21
1,31,24,1,5,1,4
1,31,24,2,5,1,17
1,31,24,1,1,1,9
1,31,24,3,5,1,24
1,31,24,1,5,1,8
1,31,24,3,1,1,12
1,31,24,3,1,1,5
1,31,24,2,1,1,21
1,31,24,1,5,1,9
1,31,24,2,11,1,25
1,31,24,3,1,1,24
1,31,24,2,1,1,31
1,31,24,2,11,1,36
1,31,24,1,5,1,1
1,31,24,2,1,1,40
1,31,24,3,5,1,22
1,31,24,2,1,1,28
1,31,24,2,1,1,9
1,37,14,1,5,1,2
1,37,14,3,1,1,13
1,37,14,1,5,1,5
1,37,14,3,2,1,11
1,37,14,2,1,1,19
1,37,14,2,1,1,17
1,37,14,3,1,1,11
1,37,14,3,5,1,16
1,37,14,1,1,1,16
1,37,14,3,1,1,10
1,37,14,2,1,1,9
1,37,14,3,1,1,24
1,37,14,2,5,1,24
1,37,14,3,1,1,1
1,37,14,3,5,1,8
1,37,14,3,1,1,19
1,37,14,2,1,1,32
1,37,14,1,1,1,11
1,37,14,3,1,1,9
1,37,14,3,1,1,22
1,37,14,3,5,1,16
1,37,14,1,5,1,4
1,37,14,3,9,1,40
1,37,14,3,1,1,16
1,37,14,1,1,1,9
1,37,14,3,1,1,12
1,37,14,1,5,1,4
1,37,14,3,1,1,10
1,37,14,3,5,1,10
1,37,14,3,11,1,24
1,37,14,1,5,1,9
1,37,14,3,5,1,15
1,37,14,3,1,1,16
1,37,14,3,1,1,21
1,37,14,3,5,1,17
1,37,14,2,1,1,24
1,37,14,3,5,1,17
1,37,14,2,1,1,29
1,37,14,3,1,1,8
1,37,14,2,5,1,31
1,37,14,3,1,1,39
1,37,14,2,1,1,5
1,37,14,2,11,1,16
1,37,14,2,1,1,23
1,37,14,3,11,1,15
1,37,14,2,5,1,18
1,37,14,3,7,1,24
1,37,14,1,5,1,20
1,37,14,3,1,1,15
1,37,14,3,1,1,12
1,37,14,1,5,1,4
1,37,14,3,1,1,29
1,37,14,3,11,1,21
1,37,14,3,1,1,21
1,37,14,3,1,1,4
1,37,14,1,5,1,6
1,37,14,3,1,1,4
2,55,12,1,1,1,11
2,55,12,3,1,1,1
2,55,12,1,1,1,10
2,55,12,1,1,1,12
2,55,12,1,1,1,18
2,55,12,3,1,1,9
2,55,12,1,1,1,19
2,55,12,1,1,1,19
2,55,12,1,1,1,13
2,55,12,3,1,1,14
2,55,12,3,1,1,16
2,55,12,3,1,1,9
2,55,12,1,1,1,7
2,55,12,3,1,1,4
2,55,12,3,1,1,24
2,55,12,3,1,1,17
2,55,12,3,1,1,20
2,55,12,3,1,1,17
2,55,12,1,1,1,19
2,55,12,1,1,1,1
2,55,12,3,1,1,18
2,55,12,2,1,1,32
2,55,12,2,1,1,25
2,55,12,3,1,1,17
2,55,12,3,1,1,28
3,55,5,3,1,1,25
3,55,5,3,1,1,14
3,55,5,3,1,1,6
3,55,5,3,1,1,16
3,55,5,3,1,1,20
3,55,5,1,1,1,4
3,55,5,2,11,1,33
3,55,5,3,1,1,15
3,55,5,3,1,1,12
3,55,5,1,9,1,11
3,55,5,1,1,1,3
3,55,5,1,1,1,20
3,55,5,3,1,1,29
3,55,5,3,1,1,8
3,55,5,2,1,1,24
3,55,5,1,9,1,31
3,55,5,2,1,1,24
3,55,5,2,1,1,37
3,55,5,3,1,1,31
3,55,5,1,1,1,17
3,55,5,1,1,1,7
3,55,5,3,1,1,32
1,18,28,3,1,3,11
1,18,28,2,1,3,15
1,18,28,3,1,3,42
1,18,28,2,1,3,17
1,18,28,3,11,3,30
1,18,28,3,1,3,12
1,18,28,2,1,3,14
1,18,28,3,11,3,21
1,18,28,1,11,3,3
1,18,28,3,11,3,1
1,18,28,2,9,3,40
1,18,28,2,1,3,13
1,18,28,3,11,3,31
1,18,28,3,1,3,12
1,18,28,3,1,3,2
1,18,28,2,1,3,52
1,18,28,2,1,3,23
1,18,28,3,9,3,19
1,18,28,1,1,3,19
1,18,28,3,1,3,30
1,18,28,2,1,3,38
1,18,28,3,2,3,9
1,18,28,2,1,3,42
1,18,28,3,1,3,25
1,18,28,3,1,3,24
1,18,28,1,1,3,16
1,18,28,3,11,3,39
1,18,28,3,11,3,16
1,18,28,1,1,3,14
1,18,28,2,1,3,25
1,18,28,1,9,3,10
1,18,28,2,1,3,17
1,18,28,1,1,3,13
1,18,28,2,1,3,26
1,18,28,3,1,3,31
1,18,28,2,1,3,52
1,18,28,3,1,3,33
1,18,28,2,1,3,48
1,18,28,2,7,3,42
1,18,28,2,1,3,25
1,18,28,1,1,3,13
1,18,28,3,1,3,17
1,18,28,2,1,3,27
1,18,28,3,1,3,19
1,18,28,3,7,3,13
1,18,28,3,5,3,28
1,18,28,3,1,3,10
1,18,28,3,1,3,20
1,18,28,2,1,3,40
1,18,28,3,1,3,41
1,18,28,2,1,3,36
1,18,28,3,1,3,8
1,18,28,3,1,3,20
1,18,28,2,5,3,31
1,18,28,3,1,3,27
1,18,28,2,1,3,3
1,18,28,2,1,3,9
1,18,28,3,1,3,18
1,18,28,3,1,3,38
1,18,28,2,1,3,41
1,18,28,1,11,3,24
1,18,28,3,1,3,15
1,18,28,2,1,3,27
1,18,28,2,1,3,37
1,18,28,3,1,3,21
1,18,28,3,5,3,45
1,18,28,3,1,3,15
1,18,28,3,1,3,31
1,18,28,3,2,3,20
1,18,28,2,1,3,18
1,18,28,2,1,3,39
1,18,28,2,11,3,39
1,18,28,3,7,3,31
1,18,28,3,1,3,14
1,18,28,3,1,3,17
1,18,28,2,1,3,48
1,18,28,1,1,3,2
1,18,28,2,8,3,22
1,18,28,3,1,3,21
1,18,28,3,1,3,34
1,18,28,3,1,3,41
1,18,28,2,1,3,4
1,18,28,3,1,3,17
1,18,28,2,1,3,13
1,18,28,3,1,3,29
1,18,28,3,1,3,8
1,18,28,3,1,3,21
3,39,28,2,1,3,35
3,39,28,1,11,3,24
3,39,28,3,1,3,35
3,39,28,3,1,3,27
3,39,28,2,1,3,42
3,39,28,1,11,3,1
3,39,28,3,11,3,26
3,39,28,2,1,3,22
3,39,28,3,1,3,3
3,39,28,3,1,3,42
3,39,28,3,1,3,31
3,39,28,2,1,3,53
3,39,28,3,1,3,44
3,39,28,2,1,3,52
3,39,28,2,1,3,29
3,39,28,2,11,3,34
3,39,28,1,1,3,11
3,39,28,3,1,3,27
3,39,28,2,11,3,41
3,39,28,1,11,3,20
3,39,28,1,11,3,27
3,39,28,3,11,3,7
3,39,28,1,2,3,46
3,39,28,3,1,3,12
3,39,28,3,11,3,47
3,39,28,2,1,3,41
3,39,28,3,11,3,23
3,39,28,2,1,3,38
3,39,28,2,1,3,35
3,39,28,2,1,3,14
3,39,28,2,7,3,41
3,39,28,2,1,3,45
3,39,28,3,11,3,7
3,39,28,2,11,3,22
3,39,28,2,5,3,29
3,39,28,2,11,3,37
3,39,28,3,1,3,39
3,39,28,2,11,3,52
3,39,28,1,1,3,17
3,39,28,2,1,3,49
3,39,28,3,1,3,27
3,39,28,1,5,3,15
3,39,28,2,1,3,42
3,39,28,3,11,3,44
3,39,28,1,1,3,18
3,39,28,1,9,3,2
3,39,28,2,1,3,55
3,39,28,3,7,3,48
3,39,28,3,11,3,30
3,39,28,2,11,3,56
3,39,28,3,1,3,35
3,39,28,3,1,3,22
3,39,28,3,5,3,22
3,39,28,3,1,3,10
3,39,28,3,1,3,11
3,39,28,1,1,3,2
3,39,28,2,1,3,50
3,39,28,2,11,3,21
3,39,28,3,1,3,13
3,39,28,1,11,3,13
3,39,28,2,1,3,38
3,39,28,3,1,3,44
3,39,28,3,1,3,24
3,39,28,3,1,3,19
3,39,28,2,9,3,46
3,39,28,1,1,3,2
3,39,28,2,1,3,48
3,39,28,3,1,3,22
3,39,28,2,11,3,52
3,39,28,3,5,3,9
3,39,28,3,1,3,37
3,39,28,2,11,3,38
3,39,28,2,1,3,45
3,39,28,2,1,3,33
3,39,28,1,1,3,42
3,39,28,2,1,3,45
3,39,28,3,1,3,33
3,39,28,3,1,3,32
3,39,28,3,1,3,27
3,39,28,3,7,3,30
3,39,28,3,5,3,22
3,39,28,2,1,3,47
3,39,28,2,1,3,38
3,39,28,1,7,3,25
3,39,28,3,11,3,22
3,39,28,3,11,3,23
3,39,28,3,1,3,21
3,39,28,3,1,3,26
3,39,28,3,5,3,37
3,39,28,3,1,3,28
3,39,28,3,1,3,48
3,39,28,3,1,3,8
3,39,28,1,11,3,16
3,39,28,3,11,3,43
3,39,28,3,1,3,25
1,28,28,3,11,2,18
1,28,28,3,5,2,26
1,28,28,2,1,2,45
1,28,28,3,1,2,8
1,28,28,2,1,2,38
1,28,28,2,1,2,41
1,28,28,3,1,2,12
1,28,28,3,1,2,16
1,28,28,1,5,2,5
1,28,28,3,1,2,16
1,28,28,3,1,2,9
1,28,28,1,1,2,2
1,28,28,3,1,2,22
1,28,28,1,1,2,15
1,28,28,3,1,2,9
1,28,28,3,1,2,13
1,28,28,2,1,2,29
1,28,28,3,1,2,3
1,28,28,3,1,2,29
1,28,28,2,11,2,45
1,28,28,3,1,2,14
1,28,28,3,1,2,28
1,28,28,3,1,2,8
1,28,28,3,5,2,25
1,28,28,3,1,2,16
1,28,28,3,11,2,20
1,28,28,1,1,2,1
1,28,28,3,1,2,39
1,28,28,2,1,2,24
1,28,28,3,11,2,10
1,28,28,2,1,2,20
1,28,28,1,5,2,13
1,28,28,2,1,2,23
1,28,28,3,5,2,22
1,28,28,3,1,2,16
1,28,28,3,1,2,8
1,28,28,2,1,2,30
1,28,28,2,1,2,20
1,28,28,3,1,2,12
1,28,28,2,1,2,47
1,28,28,2,1,2,26
1,28,28,2,1,2,39
1,28,28,3,1,2,3
1,28,28,2,1,2,43
1,28,28,3,1,2,10
1,28,28,3,1,2,17
1,28,28,3,5,2,17
1,28,28,1,1,2,14
1,28,28,3,1,2,17
1,28,28,1,5,2,20
1,28,28,3,1,2,29
1,28,28,3,1,2,18
1,28,28,2,1,2,24
1,28,28,3,1,2,9
1,28,28,3,5,2,12
1,28,28,2,1,2,37
1,28,28,1,1,2,11
1,28,28,3,5,2,14
1,28,28,3,1,2,2
1,28,28,1,1,2,7
1,28,28,2,1,2,28
1,28,28,1,1,2,6
1,28,28,2,1,2,28
1,28,28,3,5,2,15
1,28,28,2,5,2,31
1,28,28,2,1,2,24
1,28,28,3,1,2,21
1,28,28,1,1,2,16
2,38,27,3,1,2,12
2,38,27,2,1,2,38
2,38,27,2,9,2,35
2,38,27,2,7,2,45
2,38,27,2,1,2,20
2,38,27,1,1,2,5
2,38,27,3,1,2,4
2,38,27,2,1,2,9
2,38,27,2,5,2,48
2,38,27,2,1,2,31
2,38,27,2,1,2,14
2,38,27,2,1,2,11
2,38,27,2,1,2,21
2,38,27,3,1,2,24
2,38,27,3,1,2,9
2,38,27,3,1,2,11
2,38,27,3,2,2,35
2,38,27,3,1,2,14
2,38,27,3,1,2,4
2,38,27,2,1,2,18
2,38,27,3,1,2,15
2,38,27,3,1,2,22
2,38,27,2,1,2,34
2,38,27,1,1,2,4
2,38,27,2,1,2,41
2,38,27,3,1,2,10
2,38,27,3,1,2,5
2,38,27,3,1,2,2
2,38,27,3,1,2,46
2,38,27,3,1,2,12
2,38,27,2,5,2,31
2,38,27,1,1,2,2
2,38,27,3,1,2,10
2,38,27,3,5,2,18
2,38,27,1,1,2,1
2,38,27,3,1,2,4
2,38,27,1,1,2,1
2,38,27,1,1,2,2
2,38,27,1,1,2,12
2,38,27,2,5,2,33
2,38,27,3,1,2,4
2,38,27,3,5,2,38
2,38,27,1,1,2,7
2,38,27,2,7,2,52
2,38,27,2,1,2,15
2,38,27,2,1,2,42
2,38,27,2,1,2,44
2,38,27,2,1,2,26
2,38,27,2,1,2,49
2,38,27,3,1,2,22
2,38,27,3,5,2,10
2,38,27,3,1,2,28
2,38,27,3,1,2,10
2,38,27,3,1,2,19
2,38,27,3,1,2,15
2,38,27,3,1,2,25
2,38,27,3,1,2,2
2,38,27,2,1,2,46
2,38,27,2,1,2,25
2,38,27,1,7,2,31
2,38,27,3,1,2,15
2,38,27,3,1,2,15
2,38,27,3,1,2,9
2,38,27,2,1,2,47
2,38,27,1,1,2,4
2,38,27,3,1,2,6
3,38,27,3,11,2,17
3,38,27,2,1,2,13
3,38,27,3,1,2,17
3,38,27,2,1,2,54
3,38,27,3,1,2,29
3,38,27,3,1,2,21
3,38,27,3,1,2,20
3,38,27,1,1,2,7
3,38,27,3,5,2,26
3,38,27,2,1,2,19
3,38,27,2,1,2,55
3,38,27,1,1,2,10
3,38,27,3,1,2,29
3,38,27,3,1,2,28
3,38,27,3,1,2,13
3,38,27,1,1,2,21
3,38,27,1,5,2,13
3,38,27,3,1,2,27
3,38,27,1,7,2,10
3,38,27,1,1,2,5
3,38,27,1,2,2,2
3,38,27,1,1,2,4
3,38,27,2,11,2,38
3,38,27,3,1,2,6
3,38,27,3,1,2,8
3,38,27,3,1,2,20
3,38,27,3,1,2,27
3,38,27,1,1,2,12
3,38,27,3,5,2,23
3,38,27,1,1,2,11
3,38,27,3,5,2,36
